booking_id,customer_id,booking_ts,booking_status,vehicle_type,pickup_location,drop_location,avg_vtat_min,avg_ctat_min,cancelled_by_customer_flag,customer_cancel_reason,cancelled_by_driver_flag,driver_cancel_reason,incomplete_flag,incomplete_reason,booking_value,ride_distance_km,driver_rating,customer_rating,payment_method,is_suspect_completed
CNR2390352,CID5432215,2024-06-07 15:05:35,Completed,Auto,Jama Masjid,Khan Market,8.5,36.9,,,,,,,410.0,34.76,4.0,4.9,Uber Wallet,0
CNR3221338,CID2581698,2024-07-01 10:51:16,Completed,Premier Sedan,IGI Airport,Madipur,5.6,27.5,,,,,,,401.0,21.97,4.9,4.3,UPI,0
CNR6739317,CID8682675,2024-12-15 15:08:25,Cancelled by Driver,Go Sedan,Vinobapuri,GTB Nagar,6.0,,,,1,Customer related issue,,,,,,,,0
CNR6126048,CID1060329,2024-11-24 09:07:10,Cancelled by Customer,eBike,Kashmere Gate,Anand Vihar,12.4,,1,Driver is not moving towards pickup location,,,,,,,,,,0
CNR9465840,CID9046501,2024-05-24 19:53:57,Cancelled by Driver,eBike,Pitampura,Rajiv Nagar,10.3,,,,1,Customer related issue,,,,,,,,0
CNR9843229,CID4929303,2024-12-14 21:27:04,Completed,Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,,,,,,,264.0,13.64,3.8,4.7,Uber Wallet,0
CNR7911434,CID8465004,2024-07-29 06:28:22,Completed,Auto,Greater Noida,Botanical Garden,7.0,21.3,,,,,,,183.0,4.5,5.0,4.2,UPI,0
CNR6178330,CID7719678,2024-02-23 11:02:45,Completed,Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,,,,,,,713.0,38.03,3.7,3.6,UPI,0
CNR5309981,CID3870048,2024-03-09 20:14:24,Completed,Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,,,,,,,113.0,14.53,4.6,4.9,UPI,0
CNR2978950,CID2977484,2024-08-28 16:30:14,Completed,Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,,,,,,,767.0,7.39,3.8,4.6,Debit Card,0
CNR2806943,CID7550481,2024-08-08 06:34:38,Completed,Uber XL,Okhla,Barakhamba Road,5.1,20.7,,,,,,,495.0,10.23,3.8,4.2,Credit Card,0
CNR3614535,CID2507102,2024-01-26 09:44:00,Cancelled by Driver,Auto,Cyber Hub,Saket,11.5,,,,1,Personal & Car related issues,,,,,,,,0
CNR4499383,CID5717521,2024-04-12 19:42:35,No Driver Found,Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,,,,,,,,,,,,,,0
CNR9834201,CID7891331,2024-04-05 18:57:12,Incomplete,Bike,Shastri Park,Botanical Garden,3.1,28.2,,,,,1,Vehicle Breakdown,304.0,1.98,,,UPI,0
CNR8779845,CID7444351,2024-11-03 12:24:59,Completed,Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,,,,,,,2847.0,39.21,3.1,4.6,Debit Card,0
CNR2178654,CID3631860,2024-05-18 17:37:52,Cancelled by Driver,Go Mini,Qutub Minar,Vishwavidyalaya,9.2,,,,1,More than permitted people in there,,,,,,,,0
CNR3871541,CID9849259,2024-11-15 05:53:55,Completed,Go Mini,Mundka,Preet Vihar,8.9,41.0,,,,,,,282.0,8.36,3.8,4.4,UPI,0
CNR2877692,CID5901711,2024-02-04 18:08:04,Completed,Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,,,,,,,656.0,6.39,5.0,4.9,Uber Wallet,0
CNR9603633,CID5856503,2024-05-29 14:05:10,Completed,Auto,Tis Hazari,Shahdara,2.0,19.4,,,,,,,134.0,46.66,3.8,4.4,Credit Card,0
CNR8087051,CID9716528,2024-07-13 19:53:15,Cancelled by Driver,Go Sedan,New Colony,Ghitorni Village,5.4,,,,1,Customer related issue,,,,,,,,0
CNR7823292,CID9377721,2024-06-07 19:21:10,Completed,Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,,,,,,,470.0,27.07,3.7,4.2,Cash,0
CNR9918895,CID9520433,2024-05-16 13:04:31,Completed,Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,,,,,,,187.0,12.16,4.9,4.3,UPI,0
CNR7401001,CID9958715,2024-10-02 03:10:35,Completed,Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30.0,,,,,,,186.0,10.28,4.4,4.6,UPI,0
CNR2631310,CID4355670,2024-02-26 15:43:16,Completed,eBike,Seelampur,Janakpuri,10.0,35.8,,,,,,,70.0,44.42,4.1,4.4,UPI,0
CNR4218487,CID3037053,2024-09-10 13:02:42,Cancelled by Customer,Bike,Noida Extension,Udyog Vihar Phase 4,11.0,,1,Driver is not moving towards pickup location,,,,,,,,,,0
CNR5333099,CID5112050,2024-09-12 09:14:57,Cancelled by Driver,Auto,Adarsh Nagar,Civil Lines Gurgaon,8.0,,,,1,Personal & Car related issues,,,,,,,,0
CNR5969954,CID5558118,2024-01-24 10:47:57,Completed,Auto,Vinobapuri,Karkarduma,12.8,18.7,,,,,,,273.0,34.64,4.5,4.6,Uber Wallet,0
CNR4130953,CID3196782,2024-02-12 19:42:39,Incomplete,Premier Sedan,Panipat,Tagore Garden,6.4,10.5,,,,,1,Other Issue,966.0,18.3,,,Debit Card,0
CNR6693125,CID7364449,2024-10-02 19:17:00,Cancelled by Driver,Auto,Karol Bagh,Tagore Garden,5.4,,,,1,More than permitted people in there,,,,,,,,0
CNR9572979,CID3474992,2024-04-01 21:14:19,Completed,Go Sedan,Sultanpur,Noida Extension,12.2,42.3,,,,,,,251.0,20.91,4.2,3.6,Debit Card,0
CNR6444364,CID8262635,2024-09-18 21:06:36,Cancelled by Driver,Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,,,,1,More than permitted people in there,,,,,,,,0
CNR4862806,CID7875150,2024-08-02 07:17:07,Cancelled by Customer,Auto,Shastri Park,Anand Vihar ISBT,11.3,,1,Driver asked to cancel,,,,,,,,,,0
CNR4674790,CID4795905,2024-09-30 13:10:50,Incomplete,Bike,Dilshad Garden,Nehru Place,2.3,29.7,,,,,1,Vehicle Breakdown,453.0,19.24,,,Debit Card,0
CNR6866217,CID7798304,2024-06-16 00:44:47,Completed,Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,,,,,,,246.0,8.13,4.2,4.5,UPI,0
CNR4932611,CID8795963,2024-09-18 09:33:55,Completed,Auto,Aya Nagar,Karkarduma,8.8,25.2,,,,,,,237.0,2.96,3.9,3.3,UPI,0
CNR1572483,CID6059557,2024-05-04 21:26:59,Incomplete,Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,,,,,1,Vehicle Breakdown,1581.0,1.82,,,Cash,0
CNR6945858,CID9079088,2024-06-03 18:14:47,Completed,Go Mini,MG Road,Hauz Rani,4.1,25.1,,,,,,,379.0,33.04,4.2,4.5,Uber Wallet,0
CNR6584679,CID4738537,2024-10-03 22:20:34,Completed,Go Mini,Jasola,Palam Vihar,11.2,40.7,,,,,,,545.0,44.7,4.3,4.3,Cash,0
CNR6125653,CID2808212,2024-05-25 11:24:29,Completed,Go Mini,Kashmere Gate,RK Puram,3.0,35.4,,,,,,,479.0,7.38,4.2,4.6,UPI,0
CNR6092529,CID5040634,2024-03-04 17:46:46,Cancelled by Driver,Go Sedan,Ardee City,Basai Dhankot,11.2,,,,1,More than permitted people in there,,,,,,,,0
CNR6339107,CID7358763,2024-11-10 05:13:57,Completed,Go Mini,Punjabi Bagh,Madipur,9.1,23.2,,,,,,,647.0,24.93,4.3,4.7,Uber Wallet,0
CNR1349015,CID9386278,2024-09-11 10:36:44,Cancelled by Driver,Auto,Meerut,Badarpur,4.3,,,,1,More than permitted people in there,,,,,,,,0
CNR9773309,CID9965847,2024-04-11 15:43:34,No Driver Found,Uber XL,Anand Vihar ISBT,Dwarka Sector 21,,,,,,,,,,,,,,0
CNR2107544,CID1266188,2024-06-01 10:03:27,Completed,Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,,,,,,,125.0,25.16,4.3,5.0,Credit Card,0
CNR4171959,CID8470723,2024-05-09 10:44:30,Cancelled by Driver,Premier Sedan,Lajpat Nagar,Ramesh Nagar,6.3,,,,1,Customer related issue,,,,,,,,0
CNR5316307,CID1816553,2024-07-30 12:02:26,Completed,Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,,,,,,,375.0,48.85,3.3,3.3,Cash,0
CNR3635865,CID6477355,2024-02-25 16:23:19,Completed,Auto,Cyber Hub,Yamuna Bank,11.7,33.0,,,,,,,310.0,24.41,4.6,3.8,Debit Card,0
CNR2497989,CID5007066,2024-02-09 11:15:59,Cancelled by Customer,Auto,Karkarduma,IGI Airport,16.6,,1,Driver is not moving towards pickup location,,,,,,,,,,0
CNR8946337,CID6438326,2024-03-02 04:59:03,Cancelled by Driver,Go Sedan,Shastri Nagar,New Colony,5.4,,,,1,Customer related issue,,,,,,,,0
CNR3740694,CID5885514,2024-08-27 18:22:02,Incomplete,Auto,Aya Nagar,Green Park,2.3,10.1,,,,,1,Vehicle Breakdown,370.0,13.85,,,Cash,0
CNR4660896,CID5486947,2024-03-08 09:28:38,Cancelled by Driver,Premier Sedan,Dwarka Mor,ITO,5.8,,,,1,More than permitted people in there,,,,,,,,0
CNR2513330,CID7805280,2024-03-20 09:59:11,Cancelled by Driver,Premier Sedan,Adarsh Nagar,Noida Extension,6.7,,,,1,Customer related issue,,,,,,,,0
CNR9252424,CID9413620,2024-01-25 12:39:21,Completed,eBike,Vidhan Sabha,Mehrauli,12.1,18.1,,,,,,,291.0,3.71,3.2,4.3,UPI,0
CNR3096031,CID3101926,2024-04-11 11:14:35,Completed,Auto,Anand Vihar,Saket,5.8,24.3,,,,,,,114.0,32.98,4.3,4.5,Uber Wallet,0
CNR4141159,CID6810411,2024-06-17 20:25:47,Completed,Go Mini,Uttam Nagar,New Delhi Railway Station,4.0,44.5,,,,,,,464.0,11.2,4.5,4.2,Cash,0
CNR6757829,CID8433663,2024-07-29 19:52:48,Completed,Go Sedan,Model Town,Mundka,3.4,27.1,,,,,,,160.0,45.4,4.0,5.0,Cash,0
CNR6204326,CID9419495,2024-12-22 10:53:20,Cancelled by Driver,Auto,Mandi House,India Gate,11.1,,,,1,Personal & Car related issues,,,,,,,,0
CNR3347993,CID4871438,2024-12-21 21:40:00,Completed,eBike,Ghitorni,Pitampura,9.9,38.5,,,,,,,206.0,28.78,4.1,3.7,Cash,0
CNR6796311,CID1880505,2024-02-23 11:38:09,Incomplete,Go Mini,Ghitorni Village,Palam Vihar,5.9,17.2,,,,,1,Customer Demand,217.0,2.81,,,Credit Card,0
CNR3908312,CID8787746,2024-05-05 21:22:39,Completed,Bike,Okhla,Netaji Subhash Place,8.1,37.3,,,,,,,633.0,17.34,4.5,4.9,Credit Card,0
CNR9416323,CID1025742,2024-11-08 17:01:10,Completed,Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,,,,,,,717.0,9.38,4.2,4.5,UPI,0
CNR2912296,CID8094609,2024-12-26 21:21:55,Completed,Go Sedan,Rajiv Nagar,Ramesh Nagar,6.0,26.7,,,,,,,151.0,11.9,4.9,4.5,UPI,0
CNR4611314,CID6968311,2024-09-05 07:44:18,Completed,Premier Sedan,Sohna Road,New Delhi Railway Station,5.0,34.7,,,,,,,512.0,35.66,3.7,4.9,UPI,0
CNR2601752,CID9283370,2024-11-25 08:29:14,Cancelled by Customer,Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12.0,,1,Driver asked to cancel,,,,,,,,,,0
CNR5793527,CID5705499,2024-08-15 18:40:03,Cancelled by Driver,Premier Sedan,Anand Vihar ISBT,Rohini,3.2,,,,1,Personal & Car related issues,,,,,,,,0
CNR4487090,CID1210782,2024-02-10 09:17:39,Completed,Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,,,,,,,1390.0,21.79,5.0,4.9,UPI,0
CNR5266935,CID2831708,2024-09-26 11:33:51,Cancelled by Driver,Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,,,,1,More than permitted people in there,,,,,,,,0
CNR1487489,CID3403699,2024-07-01 17:39:56,Completed,Bike,Moolchand,Karol Bagh,3.9,23.0,,,,,,,224.0,7.86,4.1,4.2,Cash,0
CNR6351034,CID2038230,2024-10-19 16:24:50,Completed,Auto,Uttam Nagar,Vaishali,8.4,31.3,,,,,,,708.0,18.04,4.6,4.8,UPI,0
CNR7600870,CID7289498,2024-02-09 10:51:01,Completed,Auto,INA Market,IFFCO Chowk,7.7,43.7,,,,,,,153.0,15.18,4.2,3.6,Uber Wallet,0
CNR5444321,CID3326946,2024-03-31 12:37:12,Cancelled by Driver,Bike,Sushant Lok,Noida Sector 62,6.3,,,,1,The customer was coughing/sick,,,,,,,,0
CNR8509610,CID8227993,2024-12-11 17:05:36,Completed,Bike,IIT Delhi,Mansarovar Park,5.0,35.0,,,,,,,72.0,13.38,4.7,4.2,Cash,0
CNR6851549,CID9560489,2024-06-19 16:19:41,Incomplete,Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,8.9,15.6,,,,,1,Customer Demand,282.0,11.81,,,UPI,0
CNR3318044,CID4051792,2024-06-20 18:58:36,No Driver Found,Go Mini,Adarsh Nagar,Gwal Pahari,,,,,,,,,,,,,,0
CNR3126177,CID1851430,2024-07-10 02:23:12,Completed,Premier Sedan,Munirka,Saidulajab,10.9,43.6,,,,,,,696.0,30.9,4.7,3.7,UPI,0
CNR6453539,CID6999817,2024-02-06 21:27:00,Incomplete,eBike,New Colony,Jasola,5.7,18.0,,,,,1,Vehicle Breakdown,936.0,14.91,,,Uber Wallet,0
CNR7449144,CID8609350,2024-09-30 12:34:51,Completed,Auto,IGNOU Road,Tis Hazari,8.6,32.7,,,,,,,2169.0,44.25,4.4,4.3,Uber Wallet,0
CNR1970319,CID6085619,2024-09-20 13:09:16,Completed,eBike,Meerut,Udyog Bhawan,9.5,24.6,,,,,,,136.0,45.46,3.2,3.8,Uber Wallet,0
CNR4415815,CID8351180,2024-04-30 20:25:28,Completed,Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,,,,,,,214.0,2.91,4.1,4.7,UPI,0
CNR3899082,CID5467225,2024-06-04 20:38:07,Completed,Go Mini,Akshardham,Mayur Vihar,10.3,16.4,,,,,,,835.0,37.57,4.2,4.8,UPI,0
CNR3274519,CID3829804,2024-10-30 16:29:36,Cancelled by Driver,eBike,Chhatarpur,Gurgaon Sector 29,6.0,,,,1,More than permitted people in there,,,,,,,,0
CNR3263958,CID3231090,2024-08-11 18:21:32,Completed,Go Sedan,IMT Manesar,Ashram,2.6,36.2,,,,,,,705.0,40.18,3.9,4.8,UPI,0
CNR5822542,CID1628370,2024-05-21 17:39:58,No Driver Found,Uber XL,Madipur,DLF City Court,,,,,,,,,,,,,,0
CNR9652983,CID4773175,2024-10-08 08:52:57,Completed,Go Sedan,Azadpur,Khan Market,2.1,35.5,,,,,,,480.0,20.22,4.3,4.8,Debit Card,0
CNR2598306,CID5704025,2024-03-26 18:59:52,Cancelled by Customer,Premier Sedan,Chhatarpur,Badshahpur,14.4,,1,AC is not working,,,,,,,,,,0
CNR3274827,CID3134967,2024-06-24 18:04:39,Completed,Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,,,,,,,707.0,44.76,4.8,4.4,UPI,0
CNR9139265,CID4003339,2024-03-28 19:20:01,Cancelled by Driver,Bike,Jhilmil,DLF Phase 3,9.9,,,,1,Personal & Car related issues,,,,,,,,0
CNR8036415,CID9244184,2024-09-27 20:16:53,Completed,eBike,Sikanderpur,Greater Noida,10.0,38.0,,,,,,,865.0,43.34,3.2,3.8,Cash,0
CNR8433849,CID7659765,2024-04-26 15:45:51,Completed,Bike,Mayur Vihar,IGNOU Road,10.8,40.0,,,,,,,768.0,5.97,4.3,4.8,Cash,0
CNR2948784,CID7747807,2024-05-19 18:47:16,Completed,Bike,Rohini West,Yamuna Bank,7.0,37.0,,,,,,,626.0,27.96,3.9,4.3,Uber Wallet,0
CNR1996806,CID2293483,2024-06-05 11:16:12,Completed,Go Mini,Mandi House,Bahadurgarh,9.2,40.4,,,,,,,443.0,21.19,4.2,5.0,UPI,0
CNR6241612,CID5715130,2024-01-07 16:21:31,Cancelled by Customer,Auto,Azadpur,Hauz Rani,7.9,,1,Driver asked to cancel,,,,,,,,,,0
CNR5222120,CID2370613,2024-04-19 14:14:27,Completed,Go Sedan,Aya Nagar,Chandni Chowk,9.9,28.7,,,,,,,226.0,47.63,3.6,4.1,UPI,0
CNR6596872,CID2589193,2024-03-31 16:34:57,Completed,Auto,Shastri Nagar,Saket A Block,12.8,30.6,,,,,,,449.0,24.4,3.3,4.1,UPI,0
CNR7149058,CID7341591,2024-03-26 19:13:05,Completed,Go Mini,Vinobapuri,Shastri Park,5.9,21.1,,,,,,,778.0,7.49,4.3,4.9,UPI,0
CNR5726463,CID3407189,2024-06-10 15:24:51,Completed,Bike,Rohini West,Yamuna Bank,14.7,18.8,,,,,,,361.0,24.44,4.3,4.8,UPI,0
CNR3975551,CID2944423,2024-08-16 17:05:19,Completed,Auto,Kashmere Gate ISBT,New Colony,3.5,30.4,,,,,,,235.0,9.2,4.3,3.9,UPI,0
CNR8637930,CID8137475,2024-02-04 15:32:16,Completed,Go Sedan,Rohini,Botanical Garden,8.6,15.9,,,,,,,186.0,28.09,4.2,4.4,Cash,0
CNR9935095,CID7359331,2024-06-24 18:46:34,Incomplete,Uber XL,Kherki Daula Toll,Nawada,3.2,21.9,,,,,1,Other Issue,544.0,3.37,,,Cash,0
CNR8893726,CID8335294,2024-03-23 11:31:18,No Driver Found,Bike,IFFCO Chowk,Dilshad Garden,,,,,,,,,,,,,,0
CNR3975051,CID5797043,2024-07-21 10:45:00,Cancelled by Customer,Go Mini,Hauz Rani,Kaushambi,13.1,,1,Driver asked to cancel,,,,,,,,,,0
CNR1984811,CID6701334,2024-09-22 06:39:39,Cancelled by Customer,Auto,Dilshad Garden,Qutub Minar,8.1,,1,Change of plans,,,,,,,,,,0
CNR7036055,CID7359512,2024-05-26 22:36:05,Completed,Bike,Faridabad Sector 15,Vinobapuri,7.7,25.0,,,,,,,86.0,40.1,3.6,4.4,Cash,0
CNR3449107,CID8684841,2024-03-30 13:55:19,Cancelled by Driver,Auto,Sarai Kale Khan,Central Secretariat,8.1,,,,1,Personal & Car related issues,,,,,,,,0
CNR6919653,CID5736754,2024-09-19 08:47:23,No Driver Found,Go Mini,Vishwavidyalaya,MG Road,,,,,,,,,,,,,,0
CNR8504461,CID3984123,2024-12-26 16:16:56,Completed,Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,43.7,,,,,,,234.0,42.5,3.7,4.9,Cash,0
CNR3712671,CID5160108,2024-06-28 10:22:29,Cancelled by Driver,eBike,Mayur Vihar,Vidhan Sabha,11.9,,,,1,The customer was coughing/sick,,,,,,,,0
CNR8819329,CID6695773,2024-11-30 18:36:50,Completed,Go Sedan,Vaishali,Tilak Nagar,6.0,44.4,,,,,,,758.0,41.42,4.9,3.6,Cash,0
CNR3734278,CID6462328,2024-11-04 13:46:26,Incomplete,Auto,Kashmere Gate ISBT,Laxmi Nagar,7.9,16.7,,,,,1,Other Issue,629.0,17.52,,,UPI,0
CNR2472864,CID7156852,2024-04-16 19:41:40,Completed,Auto,Maidan Garhi,Panchsheel Park,12.5,26.3,,,,,,,273.0,31.69,4.4,4.8,UPI,0
CNR3239651,CID9573465,2024-09-12 05:52:14,Completed,Auto,Yamuna Bank,Nirman Vihar,11.1,19.6,,,,,,,117.0,33.74,4.5,3.7,Debit Card,0
CNR2646387,CID8652330,2024-06-07 18:08:10,Completed,Go Sedan,Khan Market,Central Secretariat,13.3,15.8,,,,,,,955.0,36.82,3.7,3.7,UPI,0
CNR4724814,CID1251463,2024-06-01 15:55:36,Completed,Go Sedan,Pragati Maidan,Jama Masjid,9.7,31.5,,,,,,,139.0,38.75,4.4,4.3,UPI,0
CNR2200152,CID6635464,2024-05-05 14:17:24,Completed,Go Mini,Mansarovar Park,Rohini,13.3,30.7,,,,,,,255.0,17.07,4.3,4.4,Cash,0
CNR5060137,CID2961093,2024-01-15 17:05:26,Completed,Auto,Rithala,Aya Nagar,9.5,18.0,,,,,,,1212.0,19.18,4.3,4.3,UPI,0
CNR9291876,CID9026677,2024-07-08 17:50:10,Completed,Go Sedan,Shastri Park,Indraprastha,10.0,23.6,,,,,,,81.0,23.93,4.7,3.9,Debit Card,0
CNR4212658,CID5774800,2024-08-14 17:41:00,Completed,Auto,Cyber Hub,Udyog Bhawan,3.6,24.2,,,,,,,940.0,29.09,4.2,4.6,UPI,0
CNR7677229,CID8986725,2024-07-31 17:07:36,Cancelled by Driver,Auto,Jhilmil,Vidhan Sabha,8.5,,,,1,The customer was coughing/sick,,,,,,,,0
CNR4415643,CID4718297,2024-05-08 16:37:21,Completed,eBike,Saidulajab,Hauz Khas,10.0,17.9,,,,,,,98.0,27.55,4.2,4.1,Cash,0
CNR4092218,CID5726360,2024-07-29 12:28:32,Completed,Premier Sedan,Tughlakabad,Meerut,5.9,15.5,,,,,,,724.0,14.0,4.1,4.2,Cash,0
CNR8034979,CID1915443,2024-08-09 16:41:35,Completed,eBike,Kashmere Gate,Karkarduma,8.0,25.3,,,,,,,749.0,47.3,4.4,4.3,UPI,0
CNR7228014,CID3515824,2024-08-15 22:15:54,No Driver Found,eBike,Madipur,Saket,,,,,,,,,,,,,,0
CNR1435581,CID1856576,2024-10-02 09:10:13,Completed,Auto,Shastri Park,Barakhamba Road,11.5,37.4,,,,,,,244.0,14.59,4.1,4.8,UPI,0
CNR5373942,CID7792143,2024-05-12 01:09:07,No Driver Found,Auto,Nawada,Jahangirpuri,,,,,,,,,,,,,,0
CNR3434703,CID3333217,2024-02-20 18:51:34,Incomplete,Auto,Shahdara,Bhiwadi,2.6,22.8,,,,,1,Vehicle Breakdown,351.0,8.68,,,UPI,0
CNR6987620,CID3121337,2024-05-26 20:45:58,Completed,Auto,Tilak Nagar,Azadpur,5.4,28.9,,,,,,,585.0,34.14,4.6,4.1,Debit Card,0
CNR4132145,CID5140786,2024-12-24 10:30:20,Completed,Auto,DLF Phase 3,Udyog Vihar Phase 4,6.4,44.7,,,,,,,554.0,31.79,4.3,4.6,Cash,0
CNR8207805,CID6685791,2024-06-07 17:11:59,Completed,Bike,Laxmi Nagar,Sohna Road,10.8,28.5,,,,,,,803.0,25.01,4.1,4.5,Credit Card,0
CNR1438443,CID5468663,2024-04-28 19:59:01,Completed,Go Mini,Huda City Centre,Akshardham,9.4,24.8,,,,,,,388.0,17.56,4.2,4.7,UPI,0
CNR6129081,CID2998238,2024-01-26 18:13:59,Cancelled by Customer,Bike,Shastri Nagar,Shivaji Park,7.0,,1,Wrong Address,,,,,,,,,,0
CNR1361929,CID9052724,2024-01-18 23:04:30,Completed,Go Mini,Uttam Nagar,Greater Kailash,11.2,38.5,,,,,,,192.0,48.96,3.1,4.6,UPI,0
CNR2687237,CID4887972,2024-04-15 19:03:28,Completed,Go Mini,Mehrauli,Nawada,9.0,39.1,,,,,,,79.0,32.91,4.4,3.8,Uber Wallet,0
CNR7486337,CID8581638,2024-12-19 20:42:59,No Driver Found,Go Mini,Mansarovar Park,Manesar,,,,,,,,,,,,,,0
CNR4269906,CID9683944,2024-01-22 18:23:40,Completed,Bike,Lajpat Nagar,Okhla,2.4,26.6,,,,,,,242.0,45.7,4.0,4.9,UPI,0
CNR1224347,CID5493342,2024-08-08 21:13:51,Cancelled by Customer,Go Sedan,Patel Chowk,Nirman Vihar,13.4,,1,Driver asked to cancel,,,,,,,,,,0
CNR1401386,CID2154950,2024-05-21 20:31:57,Completed,Go Mini,Botanical Garden,Azadpur,5.4,32.6,,,,,,,323.0,38.32,4.4,3.7,Uber Wallet,0
CNR2013487,CID4175153,2024-08-17 12:35:03,Cancelled by Driver,Auto,Bahadurgarh,Pragati Maidan,7.7,,,,1,Customer related issue,,,,,,,,0
CNR7409512,CID5474366,2024-06-02 21:27:23,Completed,Auto,Karol Bagh,Palam Vihar,5.4,24.4,,,,,,,799.0,9.1,4.2,4.6,UPI,0
CNR7658099,CID8951576,2024-03-11 22:20:11,Cancelled by Customer,eBike,Azadpur,Raj Nagar Extension,19.1,,1,Change of plans,,,,,,,,,,0
CNR1980045,CID9418411,2024-11-20 16:42:58,Completed,Premier Sedan,Ramesh Nagar,Greater Kailash,2.9,39.3,,,,,,,134.0,49.26,4.1,4.9,UPI,0
CNR8584951,CID2820460,2024-10-23 10:50:53,Cancelled by Driver,Go Mini,Malviya Nagar,Lajpat Nagar,3.9,,,,1,More than permitted people in there,,,,,,,,0
CNR2607733,CID5637874,2024-08-10 18:36:43,Cancelled by Customer,Bike,Dwarka Sector 21,Malviya Nagar,18.5,,1,Change of plans,,,,,,,,,,0
CNR6693847,CID6386344,2024-05-06 19:24:18,Cancelled by Customer,Bike,Noida Film City,Keshav Puram,16.1,,1,Driver asked to cancel,,,,,,,,,,0
